Championship_year,Team,Method_of_qualification,Date_of_qualification,Finals_appearance,Consecutive_appearance,Consecutive_appearance_last,Previous_best_performance,Previous_best_performance_year,FIFA_Ranking
2014,Brazil,Host,2007-10-30,20,20,NULL,Winners,1958,11
2014,Brazil,Host,2007-10-30,20,20,NULL,Winners,1962,11
2014,Brazil,Host,2007-10-30,20,20,NULL,Winners,1970,11
2014,Brazil,Host,2007-10-30,20,20,NULL,Winners,1994,11
2014,Brazil,Host,2007-10-30,20,20,NULL,Winners,2002,11
2014,Germany,"UEFA Group C Winners",2013-10-11,18,16,NULL,Winners,1954,2
2014,Germany,"UEFA Group C Winners",2013-10-11,18,16,NULL,Winners,1974,2
2014,Germany,"UEFA Group C Winners",2013-10-11,18,16,NULL,Winners,1990,2
2014,Italy,"UEFA Group B Winners",2013-09-10,18,14,NULL,Winners,1934,9
2014,Italy,"UEFA Group B Winners",2013-09-10,18,14,NULL,Winners,1938,9
2014,Italy,"UEFA Group B Winners",2013-09-10,18,14,NULL,Winners,1982,9
2014,Italy,"UEFA Group B Winners",2013-09-10,18,14,NULL,Winners,2006,9
2014,Argentina,"CONMEBOL Round Robin Winners",2013-09-10,16,11,NULL,Winners,1978,3
2014,Argentina,"CONMEBOL Round Robin Winners",2013-09-10,16,11,NULL,Winners,1986,3
2014,Mexico,"CONCACAF v OFC play-off Winners",2013-11-20,15,6,NULL,Quarter-finals,1970,24
2014,Mexico,"CONCACAF v OFC play-off Winners",2013-11-20,15,6,NULL,Quarter-finals,1986,24
2014,Spain,"UEFA Group I Winners",2013-10-15,14,10,NULL,Winners,2010,1
2014,England,"UEFA Group H Winners",2013-10-15,14,5,NULL,Winners,1966,10
2014,France,"UEFA Play-off Winners",2013-11-19,14,5,NULL,Winners,1998,21
2014,Belgium,"UEFA Group A Winners",2013-10-11,12,1,2002,"Fourth place",1986,5
2014,Uruguay,"AFC v CONMEBOL play-off Winners",2013-11-20,12,2,NULL,Winners,1930,6
2014,Uruguay,"AFC v CONMEBOL play-off Winners",2013-11-20,12,2,NULL,Winners,1950,6
2014,Switzerland,"UEFA Group E Winners",2013-10-11,10,3,NULL,Quarter-finals,1934,7
2014,Switzerland,"UEFA Group E Winners",2013-10-11,10,3,NULL,Quarter-finals,1938,7
2014,Switzerland,"UEFA Group E Winners",2013-10-11,10,3,NULL,Quarter-finals,1954,7
2014,Netherlands,"UEFA Group D Winners",2013-09-10,10,3,NULL,Runners-up,1974,8
2014,Netherlands,"UEFA Group D Winners",2013-09-10,10,3,NULL,Runners-up,1978,8
2014,Netherlands,"UEFA Group D Winners",2013-09-10,10,3,NULL,Runners-up,2010,8
2014,"United States","CONCACAF Fourth Round Winners",2013-09-10,10,7,NULL,"Third place",1930,13
2014,Russia,"UEFA Group F Winners",2013-10-15,10,1,2002,"Fourth place",1966,19
2014,Chile,"CONMEBOL Round Robin Third Place",2013-10-15,9,2,NULL,"Third place",1962,12
2014,"South Korea","AFC Fourth Round Group A Runners-up",2013-06-18,9,8,NULL,"Fourth place",2002,56
2014,Cameroon,"CAF Third Round Winners",2013-11-17,7,2,NULL,Quarter-finals,1990,59
2014,Portugal,"UEFA Play-off Winners",2013-11-19,6,4,NULL,"Third place ",1966,14
2014,Colombia,"CONMEBOL Round Robin Runners-up",2013-10-11,5,1,1999,"Round of 16 ",1990,4
2014,Nigeria,"CAF Third Round Winners",2013-11-16,5,2,,"Round of 16 ",1994,33
2014,Nigeria,"CAF Third Round Winners",2013-11-16,5,2,,"Round of 16 ",1998,33
2014,Japan,"AFC Fourth Round Group B Winners",2013-06-04,5,5,,"Round of 16 ",2002,44
2014,Japan,"AFC Fourth Round Group B Winners",2013-06-04,5,5,,"Round of 16 ",2010,44
2014,Croatia,"UEFA Play-off Winners",2013-11-19,4,1,2006,"Third place",1998,18
2014,"Costa Rica","CONCACAF Fourth Round Runners-up",2013-09-10,4,1,2006,"Round of 16 ",1990,31
2014,Algeria,"CAF Third Round Winners",2013-11-19,4,2,,"Group stage",1982,32
2014,Algeria,"CAF Third Round Winners",2013-11-19,4,2,,"Group stage",1986,32
2014,Algeria,"CAF Third Round Winners",2013-11-19,4,2,,"Group stage",2010,32
2014,Iran,"AFC Fourth Round Group A Winners",2013-06-18,4,1,2006,"Group stage",1978,49
2014,Iran,"AFC Fourth Round Group A Winners",2013-06-18,4,1,2006,"Group stage",1998,49
2014,Iran,"AFC Fourth Round Group A Winners",2013-06-18,4,1,2006,"Group stage",2006,49
2014,Australia,"AFC Fourth Round Group B Runners-up",2013-06-18,4,3,,"Round of 16 ",2006,57
2014,Greece,"UEFA Play-off Winners",2013-11-19,3,2,,"Group stage",1994,15
2014,Greece,"UEFA Play-off Winners",2013-11-19,3,2,,"Group stage",2010,15
2014,"Ivory Coast","CAF Third Round Winners",2013-11-16,3,3,,"Group stage",2006,17
2014,"Ivory Coast","CAF Third Round Winners",2013-11-16,3,3,,"Group stage",2010,17
2014,Ecuador,"CONMEBOL Round Robin Fourth Place",2013-10-15,3,1,2006,"Round of 16 ",2006,22
2014,Ghana,"CAF Third Round Winners",2013-11-19,3,3,,Quarter-finals,2010,23
2014,Honduras,"CONCACAF Fourth Round Third Place",2013-10-15,3,2,,"Group stage",1982,34
2014,Honduras,"CONCACAF Fourth Round Third Place",2013-10-15,3,2,,"Group stage",2010,34
2014,"Bosnia and Herzegovina","UEFA Group G Winners",2013-10-15,1,1,,,,16
